replicate,density,treatment,tankID,alive,num.killed,weight,length,sex,time,date,prey
1,90,low.c,P4-04,59,31,6.7,8.3,f,2,4/23/2018,bloodworms
1,20,low.c,P4-04,5,15,6.7,8.2,f,2,4/23/2018,bloodworms
1,4,low.c,P4-04,1,3,10.6,10,f,2,4/23/2018,bloodworms
1,120,low.c,P4-01,83,37,10.3,7.9,m,2,4/27/2018,bloodworms
1,6,low.c,P4-01,1,5,11.5,8,f,2,4/27/2018,bloodworms
1,10,low.c,P4-02,3,7,10.2,9.5,m,2,5/1/2018,bloodworms
1,60,low.c,P4-02,35,25,9.1,9.5,f,2,5/1/2018,bloodworms
2,10,low.c,P4-04,0,10,9.7,9.4,m,2,4/23/2018,bloodworms
2,4,low.c,P4-04,0,4,5.7,7.9,f,2,4/23/2018,bloodworms
2,60,low.c,P4-04,30,30,7.4,8.6,f,2,4/23/2018,bloodworms
2,90,low.c,P4-01,61,29,7.9,6.3,f,2,4/27/2018,bloodworms
2,20,low.c,P4-02,4,16,7.8,8.4,m,2,5/1/2018,bloodworms
2,6,low.c,P4-01,1,5,8.9,9,m,2,5/3/2018,bloodworms
2,120,low.c,P4-04,103,17,10.6,9.7,f,2,5/7/2018,bloodworms
3,20,low.c,P4-01,12,8,9.3,6.7,m,2,4/27/2018,bloodworms
3,120,low.c,P4-01,79,41,8.8,7.5,f,2,4/27/2018,bloodworms
3,60,low.c,P4-02,23,37,9.3,9,m,2,5/1/2018,bloodworms
3,4,low.c,P4-04,0,4,7.8,8.8,f,2,5/7/2018,bloodworms
3,6,low.c,P4-04,2,4,9.4,9,m,2,5/7/2018,bloodworms
3,90,low.c,P4-01,64,26,8.1,9,f,2,5/9/2018,bloodworms
3,10,low.c,P4-02,1,9,9.6,9.3,m,2,5/11/2018,bloodworms
4,120,low.c,P4-04,78,42,9.9,9.2,m,2,4/23/2018,bloodworms
4,60,low.c,P4-04,35,25,7.8,8.4,f,2,4/23/2018,bloodworms
4,20,low.c,P4-02,2,18,7.5,8.4,m,2,5/1/2018,bloodworms
4,10,low.c,P4-02,0,10,7.7,8.7,f,2,5/1/2018,bloodworms
4,90,low.c,P4-02,34,56,9.9,9.1,m,2,5/1/2018,bloodworms
4,6,low.c,P4-01,2,4,7.5,8.8,f,2,5/3/2018,bloodworms
4,4,low.c,P4-04,1,3,5.5,8.2,f,2,5/7/2018,bloodworms
1,4,high.c,P4-04,2,2,10,9.7,f,2,4/23/2018,bloodworms
1,90,high.c,P4-02,59,31,8.9,8.7,f,2,5/1/2018,bloodworms
1,20,high.c,P4-01,2,18,7.9,8.6,f,2,5/3/2018,bloodworms
1,10,high.c,P4-01,10,0,15.5,11,m,2,5/3/2018,bloodworms
1,60,high.c,P4-01,58,2,8.5,9.2,m,2,5/9/2018,bloodworms
1,6,high.c,P4-01,1,5,8.6,8.9,f,2,5/9/2018,bloodworms
1,120,high.c,,,,,,,2,,bloodworms
2,20,high.c,P4-04,5,15,8.1,9.1,f,2,4/23/2018,bloodworms
2,4,high.c,P4-01,3,1,8.3,6.5,f,2,4/27/2018,bloodworms
2,120,high.c,P4-01,93,27,8.8,7,m,2,4/27/2018,bloodworms
2,90,high.c,P4-01,73,17,8.1,8.9,m,2,5/3/2018,bloodworms
2,10,high.c,P4-04,1,9,9.2,9.5,m,2,5/7/2018,bloodworms
2,6,high.c,P4-02,1,5,8.2,8.8,f,2,5/11/2018,bloodworms
2,60,high.c,P4-05,37,23,9.5,8.9,F,2,5/25/2018,bloodworms
3,90,high.c,P4-01,44,46,9,7.5,m,2,4/27/2018,bloodworms
3,20,high.c,P4-02,20,0,10.5,8.8,m,2,5/1/2018,bloodworms
3,10,high.c,P4-01,3,7,8.2,8.9,f,2,5/3/2018,bloodworms
3,6,high.c,P4-04,1,5,11.3,10.1,m,2,5/7/2018,bloodworms
3,120,high.c,P4-01,85,35,9.2,9,m,2,5/9/2018,bloodworms
3,60,high.c,P4-02,26,34,10,9.1,f,2,5/11/2018,bloodworms
3,4,high.c,P4-05,1,3,9.1,9,M,2,5/25/2018,bloodworms
4,90,high.c,P4-04,76,14,6.6,8.2,f,2,5/7/2018,bloodworms
4,4,high.c,P4-01,2,2,11.7,9.8,f,2,5/9/2018,bloodworms
4,10,high.c,P4-02,2,8,7.9,8.9,f,2,5/11/2018,bloodworms
4,20,high.c,P4-02,4,16,9.3,9.2,m,2,5/11/2018,bloodworms
4,60,high.c,P4-05,38,22,8.1,9,M,2,5/25/2018,bloodworms
4,120,high.c,P4-05,95,25,12.6,9.5,M,2,5/25/2018,bloodworms
4,6,high.c,,,,,,,2,,bloodworms
1,60,no.str,P4-05,27,33,NA,8.8,m,2,2/14/2018,bloodworms
1,10,no.str,P4-02,0,10,8.4,7.6,m,2,2/16/2018,bloodworms
1,20,no.str,P4-02,3,17,6.1,6.8,NA,2,2/16/2018,bloodworms
1,90,no.str,P4-01,67,23,7.2,8.2,m,2,2/23/2018,bloodworms
1,4,no.str,P4-05,0,4,8.1,8.4,m,2,2/26/2018,bloodworms
1,6,no.str,P4-09,0,6,6.7,8.5,m,2,2/28/2018,bloodworms
1,150,no.str,P4-07,112,38,9.4,9.2,m,2,2/28/2018,bloodworms
2,60,no.str,P4-05,25,35,NA,9.7,m,2,2/14/2018,bloodworms
2,90,no.str,P4-02,74,16,6.9,6.6,m,2,2/16/2018,bloodworms
2,150,no.str,P4-02,117,33,9.6,7.5,m,2,2/16/2018,bloodworms
2,10,no.str,P4-07,0,10,6.4,8,f,2,2/21/2018,bloodworms
2,4,no.str,P4-07,0,4,5.3,7.7,f,2,2/21/2018,bloodworms
2,20,no.str,P4-01,0,20,10.2,9.5,m,2,2/23/2018,bloodworms
2,6,no.str,P4-05,0,6,10.9,9.2,m,2,2/26/2018,bloodworms
3,150,no.str,P4-02,145,5,6.8,6.8,m,2,2/16/2018,bloodworms
3,20,no.str,P4-07,1,19,7.6,8.5,f,2,2/21/2018,bloodworms
3,6,no.str,P4-07,0,6,6.6,7.9,f,2,2/21/2018,bloodworms
3,90,no.str,P4-07,69,21,7.3,8.3,f,2,2/21/2018,bloodworms
3,4,no.str,P4-01,1,3,6.1,8.4,f,2,2/23/2018,bloodworms
3,60,no.str,P4-02,31,29,7.4,8.6,m,2,2/26/2018,bloodworms
3,10,no.str,P4-08,10,0,8.7,8.3,f,2,2/28/2018,bloodworms
4,60,no.str,P4-05,44,16,12.6,7.9,f,2,2/14/2018,bloodworms
4,10,no.str,P4-05,3,7,NA,8.5,f,2,2/14/2018,bloodworms
4,20,no.str,P4-08,1,19,8,8.6,f,2,2/23/2018,bloodworms
4,90,no.str,P4-09,75,15,7.8,8.5,f,2,2/23/2018,bloodworms
4,6,no.str,P4-05,0,6,6.4,8,f,2,2/26/2018,bloodworms
4,4,no.str,P4-02,0,4,6.7,8.1,m,2,2/26/2018,bloodworms
4,150,no.str,P4-02,125,25,7.2,8.3,m,2,2/26/2018,bloodworms
