replicate,density,treatment,tankID,alive,num.killed,weight,length,sex,time,date,prey
3,10,rocks,4,10,0,6.3,7.9,f,4,,isopods
3,5,rocks,6,3,2,10.9,8.6,f,4,,isopods
2,30,rocks,7,24,6,6.2,7.5,f,4,,isopods
2,20,rocks,8,13,7,10.7,9.4,f,4,,isopods
3,30,rocks,9,20,10,8.6,8.7,f,4,,isopods
1,30,rocks,1,25,5,6.4,7.9,m,4,,isopods
1,30,sand,2,28,2,6,7.9,m,4,,isopods
2,5,sand,3,0,5,7.5,8.5,f,4,,isopods
3,3,sand,4,1,2,6,7.9,m,4,,isopods
1,2,rocks,6,2,0,9.5,9.2,f,4,,isopods
2,5,rocks,7,5,0,8.9,8.4,f,4,,isopods
3,5,sand,8,0,5,5.3,7.6,m,4,,isopods
1,5,rocks,10,5,0,6.2,7.9,f,4,,isopods
2,10,rocks,1,10,0,9.8,9.1,f,4,,isopods
2,3,sand,2,1,2,10.5,9.3,f,4,,isopods
2,10,sand,3,6,4,5.4,7.5,f,4,,isopods
3,20,rocks,5,14,6,9.4,9,m,4,,isopods
2,3,rocks,6,2,1,7.4,8.3,m,4,,isopods
1,2,sand,1,0,2,9.5,8.9,f,4,,isopods
3,2,rocks,2,2,0,7.6,8.3,f,4,,isopods
1,10,sand,3,2,8,6.3,7.9,f,4,,isopods
3,20,sand,4,5,15,8.5,8.8,f,4,,isopods
2,2,sand,5,1,1,6.6,8.4,f,4,,isopods
1,20,rocks,6,18,2,7.2,8.3,f,4,,isopods
1,3,sand,1,0,3,7.6,8.6,f,4,,isopods
1,10,rocks,2,9,1,6.1,7.6,f,4,,isopods
3,10,sand,3,7,3,5.4,7.8,m,4,,isopods
2,20,sand,4,0,20,6.9,8.3,m,4,,isopods
1,3,rocks,5,2,1,7.9,8.5,f,4,,isopods
2,2,rocks,6,2,0,7.3,8.6,m,4,,isopods
1,5,sand,1,0,5,8.1,8.5,f,4,181030,isopods
1,20,sand,2,3,17,7.3,8.1,m,4,181030,isopods
3,30,sand,3,3,27,6.4,8,m,4,181030,isopods
3,2,sand,4,1,1,8.3,8.7,m,4,181030,isopods
2,30,sand,5,10,20,6.7,8,m,4,181030,isopods
3,3,rocks,7,3,0,8.7,8.8,f,4,181030,isopods
1,50,rocks,1,45,5,7.7,8.5,m,4,181109,isopods
2,50,rocks,2,36,14,7.2,5.3,f,4,181110,isopods
3,50,rocks,3,34,16,8.2,8.6,f,4,181111,isopods
1,70,rocks,1,66,4,8.9,8.6,m,4,181113,isopods
2,70,rocks,1,69,1,8.3,8.5,f,4,181115,isopods
3,70,rocks,2,61,9,9.9,8.9,m,4,181115,isopods
